,Item,Como obter
0,Estátua de urso,Recompensa do  Museu  (50 itens)
1,Estátua de galinha,Recompensa do  Museu  (  Estátua de galinha  )
2,Urso Futan grande,Recompensa do  Museu  (30 itens)  Jogo do Guindaste no  Cinema
3,Vaso de obsidiana,Recompensa do  Museu  (31  Minerais  )
4,Pedra cantante,Recompensa do  Museu  (21  Minerais  )
5,Estátua de esqueleto,Recompensa do  Museu  (15  Artefatos  )
6,Esqueleto de preguiça  (E/M/D),Recompensa do  Museu  (  7 peças de osso  )
7,Geodo,Recompensa do  Museu  (11  Minerais  )
8,Gaiola de Borboletas,Comerciante do Deserto  por  Asa de morcego  (200)
9,Escultura da Leah,Leah  (Evento de 6  )
10,Caixa de Som do Sam,Sam  (Evento de 14  )
