,Item,Como obter
0,Lápide,Véspera dos Espíritos  por  350 ouros  Mercado Noturno  por  200 ouros  (apenas em  15 de Inverno  )
1,Estátua maligna,Artesanato  (receita para comprar na loja do  Krobus  por  1 000 ouros  )
2,Sinal da Embarcação,Loja do  Krobus  por  350 ouros
3,Moledro,Loja do  Anão  por  200 ouros
4,Sapo de Pedra,Mercado Noturno  por  500 ouros  (apenas em  15 de Inverno  )
5,Junimo de Pedra,Recado Secreto #14
6,Coruja de Pedra,Mercado Noturno  por  500 ouros  (apenas em  17 de Inverno  )
7,Coruja de pedra,Evento Aleatório  Raro
8,Papagaio de Pedra,Mercado Noturno  por  500 ouros  (apenas em  16 de Inverno  )
9,Armadura,Mercado Noturno  por  200 ouros  (apenas em  16 de Inverno  )
10,??Foroguemon??,Encontrado em um local  secreto  .
11,??HMTGF??,Encontrado em um local  secreto  .
12,??Limão Rosa??,Encontrado em um local  secreto  .
13,Lewis de Ouro Maciço,Recado Secreto #19
14,Estátua da Riqueza Eterna,Cassino  por  1 000 000 ouros
15,Estátua da perfeição,Recompensa da  Avaliação do Vovô
16,Estátua da verdadeira perfeição,Recompensa por atingir 100% de  Perfeição
17,Máquina de refrigerante,Complete o  Formulário de Melhorias Comunitárias Joja
18,Troféu Vale do Orvalho,Reconstrua o  Centro Comunitário
19,Arcade Júnimo Kart,"Vença o ""Modo de Progresso"" do  JunimoKart"
20,Arcade do Rei da Pradaria,Vença a  Jornada do Rei da Pradaria
